episode,Episode_reward,Loss
81,-3549.007993010469,-38364504064.0
82,-3562.484148235424,-72498348032.0
83,-4205.340804701357,-149492908032.0
84,-3072.3496524049983,4985622888448.0
85,-7869.676514168131,-123849850880.0
86,-3481.2150657693287,-168862646272.0
87,-3982.164918440115,-140568199168.0
88,-5028.467184583869,-79707086848.0
89,-3433.3318368361506,-112849698816.0
90,-3471.9771340848692,-72288190464.0
91,-3936.188790511805,-124577562624.0
92,-3791.840329651958,-99799490560.0
93,-2961.0788488097332,-143624257536.0
94,-3936.4474814998052,-168806580224.0
95,-3284.343467497375,-69600608256.0
96,-3995.5492563830217,-143464759296.0
97,-3793.398874569305,-67796312064.0
98,-3118.3536822711417,-54902497280.0
99,-3850.7412195042925,8248983814144.0
100,-3553.9082556886833,-174526660608.0
101,-5889.751412539018,-99758940160.0
102,-3893.133931921814,-141359169536.0
103,-3589.4233727424826,-116408303616.0
104,-5844.272434393312,-255389253632.0
105,-3650.5987248093365,-154212728832.0
106,-3562.484148235424,-113450655744.0
107,-5612.378026861742,-225301790720.0
108,-4168.1924568326485,-133375868928.0
109,-3350.49148276122,-77107404800.0
110,-3936.132047977805,-99164258304.0
111,-4879.963141766405,-137099304960.0
112,-3841.1459672180326,11581584834560.0
113,-3849.0665319160985,-201540648960.0
114,-4177.563912336523,-289395834880.0
115,-3608.3457558385926,-176698294272.0
116,-7066.243168485774,-145775738880.0
117,-4230.009912439376,-99396444160.0
118,-4252.651116346531,-148578271232.0
119,-3812.6855795431347,-134848135168.0
120,-3509.2905145834993,-300949110784.0
121,-4152.691988232273,-240255926272.0
122,-3542.1100046710067,-182965010432.0
123,-3779.3661190713788,-117653716992.0
124,-3617.868599999569,-180878000128.0
125,-3936.726790117537,-163875946496.0
126,-3891.0179355241808,-432572891136.0
127,-3828.610568368351,-172173852672.0
128,-4269.116442363501,-242507890688.0
129,-3814.7053104043503,-233746939904.0
130,-3634.5158661468936,-297399812096.0
131,-3936.266250199805,-510974853120.0
132,-3928.294623212604,-152193679360.0
133,-4047.4728098306587,-373492219904.0
134,-3803.8973335451155,-235678547968.0
135,-3903.3595224325672,-239175335936.0
136,-3207.003218821403,-133579145216.0
137,-5462.66150225701,-330567319552.0
138,-3758.8678963622006,-382725849088.0
139,-3951.2009225940756,-224170606592.0
140,-3638.606412794737,-215711399936.0
141,-4153.06171366836,-200759754752.0
142,-3936.5329198498052,-351201558528.0
143,-4073.1996156067107,-223894568960.0
144,-3935.90375140557,-199689863168.0
145,-3912.481825005226,-301721190400.0
146,-5078.662006217347,-182706012160.0
147,-3814.145894701931,-188335521792.0
148,-3893.59721689256,-520322351104.0
149,-3888.3349493390506,-169639657472.0
150,-4010.7935391577766,-247020732416.0
151,-3459.6889976315506,-256656769024.0
152,-3936.724816799805,-350593351680.0
153,-3069.7624470414567,-254799806464.0
154,-2989.671321665725,-190463770624.0
155,-3663.4100407362885,-431053766656.0
156,-3927.9860942460027,-192330678272.0
157,-3900.569811591023,-346177011712.0
158,-2500.482637032745,-569027067904.0
159,-4306.729433174438,-336570089472.0
160,-3290.5435876943507,-194526052352.0
161,-5195.331334336905,22204871868416.0
162,-4229.656998398187,-450819981312.0
163,-3560.7172971729215,-255512412160.0
164,-4224.339809235089,-511213568000.0
165,-4006.472087252517,-557925597184.0
166,-3932.88523549831,-248910495744.0
167,-3936.1130617348213,-333921288192.0
168,-3936.266250199805,-622317600768.0
169,-3900.208395783239,-317365616640.0
170,-3420.4020794002768,-86929268736.0
171,-3926.7384314998053,40617522495488.0
172,-3927.9467123869867,-242305564672.0
173,-3258.949470746592,-478261903360.0
174,-3903.0469992093163,-161855930368.0
175,-3806.1600464543435,-594783043584.0
176,-3248.049007962931,-348207415296.0
177,-3936.627716999805,-474215448576.0
178,-3755.6591535647976,-275533889536.0
179,-4497.445137539258,-215869849600.0
180,-3302.2993364036283,-450151251968.0
181,-3936.020629265414,-151785472000.0
182,-4100.889754333872,-222974312448.0
183,-3458.197558411096,-488199749632.0
184,-5745.518442514196,-578313912320.0
185,-3935.9899973950432,-676038508544.0
186,-3584.261990480223,-285082877952.0
187,-3410.7115302085986,-440849203200.0
188,-3900.7269855241807,-230008782848.0
189,-4140.742761624714,-282042892288.0
190,-3507.3971223194244,-494166605824.0
191,-3534.371981519336,-607954927616.0
192,-6620.670593917067,-500440498176.0
193,-4198.315522252131,-314433077248.0
194,-3893.948992056998,-518664749056.0
195,-4029.4416865281055,-444856172544.0
196,-3722.401840946055,-195478208512.0
197,-5060.013457785806,-498305073152.0
198,-3868.7123704742053,-312709677056.0
199,-5514.163343460601,-438624387072.0
