AID,count
1313,0
1314,0
1315,0
1316,1
1317,0
1318,0
1319,0
1320,6
1321,42
1322,41
1323,0
1324,0
1325,93
1326,18
1327,0
1328,4
1329,15
1330,0
1331,17
1332,50
1333,0
1334,0
1335,0
1336,1
1337,0
1338,0
1339,0
1340,4
1341,0
1342,74
1343,0
1344,0
1345,0
1346,10
1347,15
1348,15
1349,1
1350,19
1351,0
1352,19
1353,0
1354,0
1355,0
1356,0
1357,28
1358,5
1359,2
1360,0
1361,0
1362,5
1363,0
1364,0
1365,0
1366,1
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,8
1375,32
1376,0
1377,8
1378,0
1379,1
1380,7
1381,0
1382,2
1383,0
1384,4
1385,14
1386,121
1387,0
1388,0
1389,13
1390,0
1391,0
1392,1389
1393,178
1394,6
1395,125
1396,114
1397,212
1398,17
1399,34
1400,224
1401,9
1402,3
1403,53
1404,202
1405,6
1406,8
1407,102
1408,3
1409,82
1410,84
1411,240
1412,112
1413,49
1414,30
1415,5
1416,1
1417,83
1418,9
1419,4
1420,0
1421,25
1422,23
1423,194
1424,3
1425,6
1426,2
1427,6
1428,12
1429,1
1430,7
1431,9
1432,5
1433,42
1434,0
1435,0
1436,0
1437,4
1438,19
1439,43
1440,25
1441,4
1442,4
1443,14
1444,184
1445,1
1446,2
1447,46
1448,13
1449,0
1450,0
1451,291
1452,1
1453,4
1454,31
1455,0
1456,0
1457,1
1458,17
1459,0
1460,5
1461,90
1462,0
1463,0
1464,32
1465,1
1466,0
1467,6
1468,1
1469,3
1470,0
1471,0
1472,0
1473,4
1474,0
1475,6
1476,11
1477,0
1478,0
1479,0
1480,0
1481,49
1482,102
1483,22
1484,170
1485,494
1486,381
1487,46
1488,0
1489,1
1490,2
1491,2
1492,57
1493,117
1494,6
1495,2
1496,329
1497,26
1498,44
1499,959
1500,2
1501,3
1502,0
1503,10
1504,28
1505,0
1506,96
1507,7
1508,0
1509,0
1510,16
1511,0
1512,0
1513,2026
1514,9
1515,12
1516,86
1517,155
1518,844
1519,54
1520,461
1521,22
1522,32
1523,26
1524,1
1525,104
1526,8
1527,5
1528,0
1529,0
1530,0
1531,4
1532,0
1533,0
1534,44
1535,0
1536,73
1537,0
1538,0
1539,0
1540,129
1541,6
1542,0
1543,0
1544,0
1545,0
1546,0
1547,0
1548,1
1549,0
1550,0
1551,0
1552,6
1553,45
1554,47
1555,0
1556,0
1557,99
1558,18
1559,0
1560,4
1561,16
1562,0
1563,17
1564,51
1565,0
1566,0
1567,0
1568,1
1569,0
1570,0
1571,0
1572,4
1573,0
1574,76
1575,0
1576,0
1577,0
1578,10
1579,16
1580,13
1581,1
1582,17
1583,0
1584,17
1585,0
1586,0
1587,0
1588,0
1589,30
1590,5
1591,3
1592,0
1593,0
1594,2
1595,0
1596,0
1597,0
1598,2
1599,0
1600,0
1601,0
1602,0
1603,0
1604,0
1605,0
1606,8
1607,31
1608,0
1609,8
1610,0
1611,1
1612,7
1613,0
1614,2
1615,0
1616,4
1617,16
1618,124
1619,0
1620,0
1621,13
1622,0
1623,0
1624,1410
1625,169
1626,6
1627,128
1628,113
1629,227
1630,15
1631,32
1632,216
1633,10
1634,3
1635,52
1636,208
1637,5
1638,13
1639,103
1640,3
1641,85
1642,82
1643,253
1644,115
1645,52
1646,32
1647,5
1648,0
1649,84
1650,11
1651,4
1652,1
1653,25
1654,22
1655,204
1656,5
1657,7
1658,2
1659,6
1660,16
1661,1
1662,8
1663,10
1664,5
1665,44
1666,1
1667,0
1668,0
1669,4
1670,19
1671,46
1672,24
1673,4
1674,4
1675,14
1676,187
1677,1
1678,2
1679,48
1680,12
1681,0
1682,0
1683,296
1684,1
1685,4
1686,29
1687,0
1688,0
1689,1
1690,19
1691,0
1692,5
1693,93
1694,0
1695,0
1696,35
1697,2
1698,0
1699,7
1700,1
1701,3
1702,0
1703,0
1704,0
1705,4
1706,0
1707,6
1708,12
1709,0
1710,0
1711,0
1712,0
1713,47
1714,102
1715,24
1716,180
1717,503
1718,389
1719,43
1720,0
1721,1
1722,3
1723,2
1724,53
1725,125
1726,6
1727,2
1728,343
1729,26
1730,44
1731,983
1732,2
1733,2
1734,0
1735,10
1736,29
1737,0
1738,98
1739,8
1740,0
1741,0
1742,19
1743,0
1744,0
1745,2069
1746,10
1747,12
1748,87
1749,162
1750,850
1751,52
1752,476
1753,23
1754,35
1755,26
1756,1
1757,104
1758,9
1759,4
1760,0
1761,0
1762,0
1763,4
1764,0
1765,0
1766,47
1767,0
1768,76
1769,0
1770,0
1771,0
1772,139
1773,6
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,1
1781,0
1782,0
1783,0
1784,6
1785,44
1786,46
1787,0
1788,0
1789,105
1790,18
1791,0
1792,4
1793,16
1794,0
1795,18
1796,50
1797,0
1798,0
1799,0
1800,1
1801,0
1802,0
1803,0
1804,4
1805,0
1806,79
1807,0
1808,0
1809,0
1810,11
1811,15
1812,13
1813,1
1814,17
1815,0
1816,18
1817,0
1818,0
1819,0
1820,0
1821,29
1822,6
1823,3
1824,0
1825,0
1826,1
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,8
1839,33
1840,0
1841,8
1842,0
1843,1
1844,7
1845,1
1846,1
1847,0
1848,4
1849,12
1850,124
1851,0
1852,0
1853,14
1854,0
1855,0
1856,1416
1857,172
1858,6
1859,133
1860,114
1861,233
1862,16
1863,31
1864,213
1865,9
1866,3
1867,54
1868,207
1869,5
1870,9
1871,107
1872,3
1873,84
1874,80
1875,254
1876,119
1877,51
1878,35
1879,5
1880,0
1881,86
1882,10
1883,6
1884,0
1885,26
1886,26
1887,208
1888,3
1889,7
1890,4
1891,6
1892,15
1893,1
1894,6
1895,12
1896,5
1897,43
1898,0
1899,1
1900,0
1901,5
1902,19
1903,44
1904,25
1905,4
1906,4
1907,15
1908,193
1909,1
1910,3
1911,48
1912,13
1913,0
1914,0
1915,304
1916,1
1917,5
1918,29
1919,0
1920,0
1921,1
1922,20
1923,0
1924,5
1925,92
1926,0
1927,0
1928,35
1929,1
1930,0
1931,9
1932,1
1933,3
1934,0
1935,0
1936,0
1937,4
1938,0
1939,8
1940,12
1941,0
1942,0
1943,0
1944,0
1945,48
1946,105
1947,23
1948,183
1949,516
1950,399
1951,47
1952,0
1953,1
1954,3
1955,3
1956,54
1957,128
1958,5
1959,1
1960,346
1961,26
1962,44
1963,994
1964,2
1965,1
1966,0
1967,13
1968,30
1969,0
1970,100
1971,8
1972,0
1973,0
1974,18
1975,0
1976,0
1977,2099
1978,10
1979,12
1980,85
1981,163
1982,859
1983,55
1984,478
1985,24
1986,33
1987,27
1988,1
1989,105
1990,8
1991,5
1992,0
1993,0
1994,0
1995,4
1996,0
1997,0
1998,47
1999,0
2000,74
2001,0
2002,0
2003,0
2004,138
2005,6
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,1
2013,0
2014,0
2015,0
2016,6
2017,43
2018,49
2019,0
2020,0
2021,108
2022,21
2023,0
2024,3
2025,19
2026,0
2027,19
2028,48
2029,0
2030,0
2031,0
2032,2
2033,0
2034,0
2035,0
2036,4
2037,0
2038,82
2039,0
2040,0
