pid,timestamp,score_mean,photo_count
676,6:00:00,4.870875,2
677,6:00:00,4.7632888,2
696,6:00:00,4.788658025,8
699,6:00:00,4.496318063,8
741,6:00:00,4.51308986,5
742,6:00:00,4.627068054,28
775,6:00:00,4.802393667,3
782,6:00:00,4.549022622,23
783,6:00:00,4.730563,3
798,6:00:00,4.8774428,8
825,6:00:00,4.946122454,46
852,6:00:00,4.408181167,3
853,6:00:00,5.07954665,2
858,6:00:00,4.718477125,4
862,6:00:00,5.3899291,3
912,6:00:00,4.97354486,5
930,6:00:00,3.825713825,4
1005,6:00:00,4.67375015,2
1106,6:00:00,4.81138073,10
1122,6:00:00,4.528246567,3
1169,6:00:00,4.5574195,4
1178,6:00:00,4.1725031,2
1199,6:00:00,4.14595675,2
1213,6:00:00,4.3184573,2
1337,6:00:00,4.184990213,23
1439,6:00:00,4.66525185,6
4,7:00:00,4.580770975,36
12,7:00:00,4.703932708,13
13,7:00:00,5.02836365,4
18,7:00:00,4.584377659,41
21,7:00:00,5.13344634,5
26,7:00:00,4.535473414,7
27,7:00:00,4.90882605,6
28,7:00:00,4.531064833,3
31,7:00:00,4.89359765,2
32,7:00:00,4.998661038,8
34,7:00:00,4.907832195,19
35,7:00:00,4.736757304,28
40,7:00:00,4.657007533,3
45,7:00:00,4.5151123,2
47,7:00:00,4.681774933,9
52,7:00:00,4.906434683,6
56,7:00:00,4.747277733,3
59,7:00:00,5.196638,5
60,7:00:00,5.234935567,3
94,7:00:00,5.119830525,28
107,7:00:00,5.192406167,3
119,7:00:00,4.913103638,8
123,7:00:00,4.62442735,2
133,7:00:00,5.2145393,2
136,7:00:00,5.07480315,2
151,7:00:00,4.670047988,51
152,7:00:00,5.0387867,2
156,7:00:00,4.84943,2
168,7:00:00,4.700750967,3
171,7:00:00,4.757272693,14
175,7:00:00,4.643743175,4
189,7:00:00,4.763813,2
191,7:00:00,4.5092435,2
201,7:00:00,4.884366833,6
203,7:00:00,4.1144024,2
210,7:00:00,4.5572591,2
213,7:00:00,4.95415185,2
222,7:00:00,4.5065034,3
224,7:00:00,4.7939482,2
240,7:00:00,5.51446475,2
244,7:00:00,5.16269756,10
266,7:00:00,4.67288965,2
267,7:00:00,4.7323385,2
273,7:00:00,4.779523,2
274,7:00:00,4.9629171,5
281,7:00:00,4.588570175,4
315,7:00:00,4.7118855,2
