aid,aoi,boundary,polygon
1046,"Reisen-dori, 冷泉通",[135.773772  35.015446 135.777597  35.01578 ],"[[35.01578, 135.773772], [35.01578, 135.777597], [35.015446, 135.777597], [35.015446, 135.773772]]"
1047,"Ritsumeikan Daigaku-mae, 立命館大学前",[135.723379  35.031112 135.725955  35.034974],"[[35.034974, 135.723379], [35.034974, 135.725955], [35.031112, 135.725955], [35.031112, 135.723379]]"
1048,"Kamogawa Park, 鴨川公園",[135.7665    35.037867 135.767165  35.038666],"[[35.038666, 135.7665], [35.038666, 135.767165], [35.037867, 135.767165], [35.037867, 135.7665]]"
1049,"Mototanaka, 元田中",[135.780627  35.034833 135.780747  35.034866],"[[35.034866, 135.780627], [35.034866, 135.780747], [35.034833, 135.780747], [35.034833, 135.780627]]"
1050,"Kyoto Prefectural Offic, 京都府厅",[135.755524  35.0208   135.755652  35.021197],"[[35.021197, 135.755524], [35.021197, 135.755652], [35.0208, 135.755652], [35.0208, 135.755524]]"
1051,"Horikawa-dori, 堀川通",[135.750846  35.01737  135.752563  35.020019],"[[35.020019, 135.750846], [35.020019, 135.752563], [35.01737, 135.752563], [35.01737, 135.750846]]"
1052,"Kamogawa Marutamachi, 鴨川丸太町",[135.77136   35.019172 135.771916  35.019593],"[[35.019593, 135.77136], [35.019593, 135.771916], [35.019172, 135.771916], [35.019172, 135.77136]]"
1053,"Nijojo-mae, 二条城前",[135.746996  35.009861 135.752563  35.012083],"[[35.012083, 135.746996], [35.012083, 135.752563], [35.009861, 135.752563], [35.009861, 135.746996]]"
1054,"Nijo Station, 二条駅",[135.741166  35.010806 135.741748  35.011228],"[[35.011228, 135.741166], [35.011228, 135.741748], [35.010806, 135.741748], [35.010806, 135.741166]]"
1055,"Houkongou-in Temple, 法金剛院",[135.716166  35.019    135.7165    35.019166],"[[35.019166, 135.716166], [35.019166, 135.7165], [35.019, 135.7165], [35.019, 135.716166]]"
1056,"Myoshinji-Michi, 妙心寺道",[135.729666  35.021166 135.729833  35.021333],"[[35.021333, 135.729666], [35.021333, 135.729833], [35.021166, 135.729833], [35.021166, 135.729666]]"
1057,"Uji Station, 宇治駅",[135.800333  34.889    135.808191  34.895083],"[[34.895083, 135.800333], [34.895083, 135.808191], [34.889, 135.808191], [34.889, 135.800333]]"
1058,"Uji Koen, 宇治公園",[135.808538  34.887479 135.812087  34.892372],"[[34.892372, 135.808538], [34.892372, 135.812087], [34.887479, 135.812087], [34.887479, 135.808538]]"
1059,"Daigo Bus Terminal, 醍醐バスターミナル",[135.810744  34.951886 135.810913  34.952072],"[[34.952072, 135.810744], [34.952072, 135.810913], [34.951886, 135.810913], [34.951886, 135.810744]]"
1060,"Kohata Station, 木幡駅",[135.798997  34.924855 135.799041  34.924894],"[[34.924894, 135.798997], [34.924894, 135.799041], [34.924855, 135.799041], [34.924855, 135.798997]]"
1061,"Kajuji Temple, 勧修寺",[135.807441  34.961088 135.808025  34.96143 ],"[[34.96143, 135.807441], [34.96143, 135.808025], [34.961088, 135.808025], [34.961088, 135.807441]]"
1062,"Hiyoshi Taisha, 日吉大社",[135.862288  35.071011 135.865875  35.072233],"[[35.072233, 135.862288], [35.072233, 135.865875], [35.071011, 135.865875], [35.071011, 135.862288]]"
1063,"Keihoku Shimokurodacho, 京北下黒田町",[135.716171  35.200161 135.718567  35.202171],"[[35.202171, 135.716171], [35.202171, 135.718567], [35.200161, 135.718567], [35.200161, 135.716171]]"
1064,"Jisso-in Temple, 実相院",[135.781138  35.078897 135.781744  35.079316],"[[35.079316, 135.781138], [35.079316, 135.781744], [35.078897, 135.781744], [35.078897, 135.781138]]"
1065,"Kyoto International Conference Center, 国立京都国際会館",[135.78198   35.059861 135.783252  35.061469],"[[35.061469, 135.78198], [35.061469, 135.783252], [35.059861, 135.783252], [35.059861, 135.78198]]"
1066,"Uryuyama, 瓜生山",[135.797561  35.034833 135.803558  35.041538],"[[35.041538, 135.797561], [35.041538, 135.803558], [35.034833, 135.803558], [35.034833, 135.797561]]"
1067,"Daimonjiyama, 大文字山",[135.799591  35.018422 135.811858  35.0231  ],"[[35.0231, 135.799591], [35.0231, 135.811858], [35.018422, 135.811858], [35.018422, 135.799591]]"
1068,"Honeninmachi, 法然院町",[135.792646  35.02243  135.793     35.022833],"[[35.022833, 135.792646], [35.022833, 135.793], [35.02243, 135.793], [35.02243, 135.792646]]"
